q_x1_0,q_x1_1,q_x1_2,q_x1_3
0.00000000,0.78774625,-0.25219086,-0.00267531f
0.00000000,0.71359444,-0.28252181,-0.00267531f
0.00000000,0.92208427,-0.46308073,-0.00226372f
0.00000000,0.91925520,-0.38621098,-0.00246951f
0.00000000,0.89624000,-0.24822581,-0.00246951f
0.00000000,0.85118234,-0.29863819,-0.00205793f
0.00000000,0.81554073,-0.46255481,-0.00288110f
0.00000000,0.80054760,-0.31172073,-0.00226372f
0.00000000,0.94514066,-0.29503083,-0.00226372f
0.00000000,0.96728677,-0.34255058,-0.00267531f
0.00000000,0.93563187,-0.40222743,-0.00246951f
0.00000000,0.81647885,-0.32698303,-0.00267531f
0.00000000,0.94440901,-0.20440687,-0.00288110f
0.00000000,1.03571403,-0.30985126,-0.00246951f
0.00000000,0.79909343,-0.43154690,-0.00267531f
0.00000000,0.89294058,-0.23676172,-0.00288110f
0.00000000,0.88537407,-0.36969218,-0.00246951f
0.00000000,0.81250918,-0.49082264,-0.00308689f
0.00000000,0.92559755,-0.46478555,-0.00246951f
0.00000000,0.91106397,-0.23360378,-0.00288110f
0.00000000,0.94076979,-0.32825747,-0.00205793f
0.00000000,1.01869738,-0.32902899,-0.00226372f
0.00000000,0.92172629,-0.22107489,-0.00246951f
0.00000000,0.76818162,-0.31066146,-0.00246951f
0.00000000,0.79925019,-0.25076714,-0.00205793f
0.00000000,0.76056570,-0.16185634,-0.00267531f
0.00000000,0.97382426,-0.26857615,-0.00288110f
0.00000000,0.80117363,-0.38784254,-0.00267531f
0.00000000,0.94330120,-0.25304818,-0.00288110f
0.00000000,0.84342730,-0.40149400,-0.00288110f
0.00000000,0.99229586,-0.37037101,-0.00226372f
0.00000000,0.89095104,-0.37199783,-0.00288110f
0.00000000,0.89817917,-0.16240671,-0.00246951f
0.00000000,0.80144578,-0.35745719,-0.00288110f
0.00000000,0.80647868,-0.29916877,-0.00226372f
0.00000000,0.77601475,-0.45140299,-0.00308689f
0.00000000,0.85811031,-0.23522323,-0.00288110f
0.00000000,1.02394032,-0.17549919,-0.00226372f
0.00000000,0.96702182,-0.35710227,-0.00246951f
0.00000000,0.91791111,-0.31048945,-0.00226372f
0.00000000,0.86867458,-0.23412751,-0.00308689f
0.00000000,0.84388554,-0.47660929,-0.00185213f
0.00000000,0.87683696,-0.29713619,-0.00288110f
0.00000000,0.79006696,-0.23767960,-0.00246951f
0.00000000,0.86695439,-0.29849440,-0.00308689f
0.00000000,0.94782656,-0.31043270,-0.00267531f
0.00000000,0.95076704,-0.46233231,-0.00267531f
0.00000000,0.91910493,-0.40149981,-0.00246951f
0.00000000,0.95751715,-0.47372013,-0.00246951f
0.00000000,0.83914846,-0.23417149,-0.00267531f
0.00000000,0.81285667,-0.34046772,-0.00288110f
0.00000000,0.70912951,0.05057228,-0.00267531f
0.00000000,0.94079089,-0.27802506,-0.00246951f
0.00000000,1.03142059,-0.35325572,-0.00329268f
0.00000000,0.89488333,-0.28254583,-0.00329268f
0.00000000,0.92907250,-0.20796277,-0.00329268f
0.00000000,0.82494527,-0.44420588,-0.00308689f
0.00000000,0.96891630,-0.26715493,-0.00267531f
0.00000000,0.90749824,-0.31222337,-0.00308689f
0.00000000,1.00195134,-0.23778041,-0.00308689f
0.00000000,0.82615900,-0.27998075,-0.00246951f
0.00000000,0.80434436,-0.28311068,-0.00288110f
0.00000000,1.03960800,-0.44637141,-0.00226372f
0.00000000,0.88816786,-0.23531210,-0.00267531f
0.00000000,0.92423224,-0.25203750,-0.00308689f
0.00000000,0.86772621,-0.39021724,-0.00329268f
0.00000000,0.89677685,-0.28324768,-0.00288110f
0.00000000,1.05130947,-0.15990223,-0.00246951f
0.00000000,0.82185078,-0.46614245,-0.00370427f
0.00000000,0.88035637,-0.00962995,-0.00205793f
0.00000000,0.88384211,-0.34512901,-0.00205793f
0.00000000,0.80856192,-0.45223197,-0.00205793f
0.00000000,0.80658740,-0.14663078,-0.00226372f
0.00000000,0.80381936,-0.48006001,-0.00267531f
0.00000000,0.94193393,-0.26805285,-0.00246951f
0.00000000,0.86687618,-0.20752558,-0.00246951f
0.00000000,0.70689344,-0.22026807,-0.00288110f
0.00000000,0.94085318,-0.25243494,-0.00226372f
0.00000000,0.90898621,-0.25234586,-0.00267531f
0.00000000,0.99593496,-0.49239668,-0.00267531f
0.00000000,0.92083693,-0.23599562,-0.00267531f
0.00000000,0.86096543,-0.13040444,-0.00226372f
0.00000000,0.95323622,-0.25190639,-0.00267531f
0.00000000,1.05409992,-0.29576749,-0.00226372f
0.00000000,0.86316007,-0.31272796,-0.00226372f
0.00000000,0.76581806,-0.44505268,-0.00288110f
0.00000000,0.92249584,-0.38790303,-0.00267531f
0.00000000,0.92971539,-0.34487161,-0.00288110f
0.00000000,1.03621328,-0.31447592,-0.00267531f
0.00000000,0.87924665,-0.25237319,-0.00144055f
0.00000000,1.00398290,-0.20772624,-0.00267531f
0.00000000,0.91788977,-0.17519583,-0.00205793f
0.00000000,0.90552187,-0.40215656,-0.00349848f
0.00000000,0.90310884,-0.40098646,-0.00246951f
0.00000000,0.92670619,-0.23763850,-0.00349848f
0.00000000,0.90312594,-0.46133271,-0.00349848f
0.00000000,0.81249750,-0.41582602,-0.00226372f
0.00000000,0.88674009,-0.26535666,-0.00288110f
0.00000000,0.83797431,-0.26862854,-0.00288110f
0.00000000,0.91858977,-0.33144987,-0.00205793f
0.00000000,0.63407695,-0.40215948,-0.00288110f
0.00000000,0.91044605,-0.23730853,-0.00267531f
0.00000000,0.96606869,-0.14530258,-0.00288110f
0.00000000,0.84653330,-0.32756904,-0.00267531f
0.00000000,0.91862863,-0.22040047,-0.00267531f
0.00000000,0.91640925,-0.29500362,-0.00267531f
0.00000000,0.86075383,-0.40254939,-0.00246951f
0.00000000,0.84986210,-0.31340542,-0.00267531f
0.00000000,0.87034160,-0.35472453,-0.00288110f
0.00000000,0.91973394,-0.28097039,-0.00267531f
0.00000000,0.77574950,-0.35959440,-0.00308689f
0.00000000,0.89381742,-0.52445209,-0.00329268f
