K_00,K_01,K_02,K_03,K_10,K_11,K_12,K_13
0.00000000,0.00000000,0.50193042,0.00000000,0.00000000,0.50193042,0.00000000,0.00000000
0.00000000,0.00000000,0.50206107,0.00000000,0.00000000,0.50206107,0.00000000,0.00000000
0.00000000,0.00000000,0.50207108,0.00000000,0.00000000,0.50207108,0.00000000,0.00000000
0.00000000,0.00000000,0.50207818,0.00000000,0.00000000,0.50207818,0.00000000,0.00000000
0.00000000,0.00000000,0.50206435,0.00000000,0.00000000,0.50206435,0.00000000,0.00000000
0.00000000,0.00000000,0.50212771,0.00000000,0.00000000,0.50212771,0.00000000,0.00000000
0.00000000,0.00000000,0.50211978,0.00000000,0.00000000,0.50211978,0.00000000,0.00000000
0.00000000,0.00000000,0.50206608,0.00000000,0.00000000,0.50206608,0.00000000,0.00000000
0.00000000,0.00000000,0.50201803,0.00000000,0.00000000,0.50201803,0.00000000,0.00000000
0.00000000,0.00000000,0.50199986,0.00000000,0.00000000,0.50199986,0.00000000,0.00000000
0.00000000,0.00000000,0.50208080,0.00000000,0.00000000,0.50208080,0.00000000,0.00000000
0.00000000,0.00000000,0.50208664,0.00000000,0.00000000,0.50208664,0.00000000,0.00000000
0.00000000,0.00000000,0.50204170,0.00000000,0.00000000,0.50204170,0.00000000,0.00000000
0.00000000,0.00000000,0.50207603,0.00000000,0.00000000,0.50207603,0.00000000,0.00000000
0.00000000,0.00000000,0.50201684,0.00000000,0.00000000,0.50201684,0.00000000,0.00000000
0.00000000,0.00000000,0.50203151,0.00000000,0.00000000,0.50203151,0.00000000,0.00000000
0.00000000,0.00000000,0.50201058,0.00000000,0.00000000,0.50201058,0.00000000,0.00000000
0.00000000,0.00000000,0.50207841,0.00000000,0.00000000,0.50207841,0.00000000,0.00000000
0.00000000,0.00000000,0.50209421,0.00000000,0.00000000,0.50209421,0.00000000,0.00000000
0.00000000,0.00000000,0.50204587,0.00000000,0.00000000,0.50204587,0.00000000,0.00000000
0.00000000,0.00000000,0.50203913,0.00000000,0.00000000,0.50203913,0.00000000,0.00000000
0.00000000,0.00000000,0.50205296,0.00000000,0.00000000,0.50205296,0.00000000,0.00000000
0.00000000,0.00000000,0.50209099,0.00000000,0.00000000,0.50209099,0.00000000,0.00000000
0.00000000,0.00000000,0.50209224,0.00000000,0.00000000,0.50209224,0.00000000,0.00000000
0.00000000,0.00000000,0.50210637,0.00000000,0.00000000,0.50210637,0.00000000,0.00000000
0.00000000,0.00000000,0.50202173,0.00000000,0.00000000,0.50202173,0.00000000,0.00000000
0.00000000,0.00000000,0.50201666,0.00000000,0.00000000,0.50201666,0.00000000,0.00000000
0.00000000,0.00000000,0.50204587,0.00000000,0.00000000,0.50204587,0.00000000,0.00000000
0.00000000,0.00000000,0.50206971,0.00000000,0.00000000,0.50206971,0.00000000,0.00000000
0.00000000,0.00000000,0.50208765,0.00000000,0.00000000,0.50208765,0.00000000,0.00000000
0.00000000,0.00000000,0.50206691,0.00000000,0.00000000,0.50206691,0.00000000,0.00000000
0.00000000,0.00000000,0.50208741,0.00000000,0.00000000,0.50208741,0.00000000,0.00000000
