temp6_0,temp6_1,temp6_2,temp6_3
0.00000000,0.88691175,-0.24566458,0.00000000f
0.00000000,0.80661994,-0.47745746,0.00000000f
0.00000000,0.81376088,-0.20148055,0.00000000f
0.00000000,0.78808200,-0.14185895,0.00000000f
0.00000000,0.87428403,-0.38244113,0.00000000f
0.00000000,0.96599966,-0.32201734,0.00000000f
0.00000000,0.90339047,-0.14086217,0.00000000f
0.00000000,0.94919831,-0.33159766,0.00000000f
0.00000000,0.82655138,-0.51577616,0.00000000f
0.00000000,1.03262877,-0.12676699,0.00000000f
0.00000000,0.70953739,-0.20158181,0.00000000f
0.00000000,1.01114786,-0.29211074,0.00000000f
0.00000000,0.82661241,-0.29064542,0.00000000f
0.00000000,1.01482046,-0.40834975,0.00000000f
0.00000000,0.77823609,-0.28002116,0.00000000f
0.00000000,0.84921038,-0.39973572,0.00000000f
0.00000000,0.88137650,-0.18458283,0.00000000f
0.00000000,0.70152992,-0.40831551,0.00000000f
0.00000000,1.12819886,-0.24572341,0.00000000f
0.00000000,0.81750095,-0.23238388,0.00000000f
0.00000000,0.88740945,-0.20085442,0.00000000f
0.00000000,1.02563930,-0.24649502,0.00000000f
0.00000000,1.04202390,-0.32258222,0.00000000f
0.00000000,0.95418614,-0.17227502,0.00000000f
0.00000000,0.78525376,-0.17151333,0.00000000f
0.00000000,0.87219107,-0.35126305,0.00000000f
0.00000000,0.87321925,-0.41200638,0.00000000f
0.00000000,0.96657258,-0.17144473,0.00000000f
0.00000000,0.85849684,-0.27660051,0.00000000f
0.00000000,0.80756402,-0.31060839,0.00000000f
0.00000000,0.93119723,-0.63622445,0.00000000f
0.00000000,0.97095889,-0.33884212,0.00000000f
0.00000000,0.70244586,-0.23000750,0.00000000f
0.00000000,0.82397395,-0.26527262,0.00000000f
0.00000000,0.93311667,-0.23097916,0.00000000f
0.00000000,0.77997494,-0.63559878,0.00000000f
0.00000000,0.90784192,-0.28823972,0.00000000f
0.00000000,1.04956782,-0.29049391,0.00000000f
0.00000000,0.87736744,-0.17193711,0.00000000f
0.00000000,0.91934168,-0.54774570,0.00000000f
0.00000000,0.76774669,-0.26111549,0.00000000f
0.00000000,0.99920720,-0.05060155,0.00000000f
0.00000000,1.00143933,-0.12669405,0.00000000f
0.00000000,0.95239997,-0.38343292,0.00000000f
0.00000000,0.83870155,-0.24509044,0.00000000f
0.00000000,0.92059720,-0.15599169,0.00000000f
0.00000000,1.03968990,-0.21621740,0.00000000f
0.00000000,0.89517570,-0.30874285,0.00000000f
0.00000000,0.94884312,-0.47281000,0.00000000f
0.00000000,0.86220086,-0.21712287,0.00000000f
0.00000000,0.88020688,-0.17215496,0.00000000f
0.00000000,1.09477699,-0.41578850,0.00000000f
0.00000000,0.98828918,-0.37939069,0.00000000f
0.00000000,0.86265904,-0.23248160,0.00000000f
0.00000000,1.04704440,-0.32357553,0.00000000f
0.00000000,0.87290782,-0.27591252,0.00000000f
0.00000000,0.81417817,-0.15606208,0.00000000f
0.00000000,0.75632209,-0.35321528,0.00000000f
0.00000000,0.96375626,-0.50208813,0.00000000f
0.00000000,0.97359556,-0.14229308,0.00000000f
0.00000000,0.70891607,-0.27674180,0.00000000f
0.00000000,1.03976476,-0.11078182,0.00000000f
0.00000000,0.79937637,-0.17105448,0.00000000f
0.00000000,0.93321013,-0.39642847,0.00000000f
0.00000000,1.00454855,-0.35016665,0.00000000f
0.00000000,0.90534586,-0.18606463,0.00000000f
0.00000000,0.93179828,-0.27558747,0.00000000f
0.00000000,1.00536108,-0.40141740,0.00000000f
0.00000000,0.87456131,-0.32182348,0.00000000f
0.00000000,0.81988955,-0.35462171,0.00000000f
0.00000000,0.95638108,-0.40032828,0.00000000f
0.00000000,0.88508499,-0.33527973,0.00000000f
0.00000000,0.87592614,-0.33753780,0.00000000f
0.00000000,1.01070988,-0.41246521,0.00000000f
0.00000000,0.84455180,-0.44284758,0.00000000f
0.00000000,0.73827100,-0.41203177,0.00000000f
0.00000000,1.03778994,-0.24616177,0.00000000f
0.00000000,1.07704175,-0.32416260,0.00000000f
0.00000000,0.85262823,-0.24460997,0.00000000f
0.00000000,0.95414186,-0.20251004,0.00000000f
0.00000000,0.90713912,-0.15661471,0.00000000f
0.00000000,1.02735078,-0.44348875,0.00000000f
0.00000000,0.83296609,-0.23272310,0.00000000f
0.00000000,0.83304852,-0.33845720,0.00000000f
0.00000000,1.08770442,-0.41302201,0.00000000f
0.00000000,0.74074543,-0.41365638,0.00000000f
0.00000000,0.93247789,-0.26092520,0.00000000f
0.00000000,0.93887526,-0.41413748,0.00000000f
0.00000000,0.93685538,-0.33801731,0.00000000f
0.00000000,1.04578817,-0.32353738,0.00000000f
0.00000000,0.97111928,-0.47552547,0.00000000f
0.00000000,0.93650353,-0.41350141,0.00000000f
0.00000000,0.75325656,-0.21628727,0.00000000f
0.00000000,0.83740097,-0.21450885,0.00000000f
0.00000000,0.96908927,-0.23247229,0.00000000f
0.00000000,1.03961992,-0.56250334,0.00000000f
0.00000000,0.88887978,-0.17071320,0.00000000f
0.00000000,0.75552398,-0.50428116,0.00000000f
0.00000000,0.84511536,-0.38250497,0.00000000f
0.00000000,0.91156483,-0.52215451,0.00000000f
0.00000000,0.90966934,-0.35374618,0.00000000f
0.00000000,0.93289173,-0.42658776,0.00000000f
0.00000000,0.90256166,-0.45694306,0.00000000f
0.00000000,0.83293092,-0.18685180,0.00000000f
0.00000000,0.90190661,-0.32081452,0.00000000f
0.00000000,1.07437372,-0.35307696,0.00000000f
0.00000000,0.99017388,-0.27940327,0.00000000f
0.00000000,1.03268421,-0.40002540,0.00000000f
